epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,72950.3,0.84526,0.48842,0.92186,0.7467,0.71414,0.66829,0.38834,0.46167,4.29094,0.49123,0.000297125,0.000297125,0.000297125
79,73052.1,0.82379,0.48664,0.92154,0.7076,0.66986,0.6054,0.36736,0.4693,2.68599,0.49129,0.00028475,0.00028475,0.00028475
80,73152.2,0.83052,0.48694,0.91596,0.71048,0.66178,0.60139,0.3663,0.47547,2.73057,0.49616,0.000272375,0.000272375,0.000272375
81,73251.4,0.8355,0.4691,0.91588,0.75943,0.72878,0.69273,0.36818,0.47816,2.8607,0.49683,0.00026,0.00026,0.00026
82,73350.5,0.83483,0.48711,0.91996,0.80492,0.72847,0.71561,0.38041,0.47082,2.80368,0.49466,0.000247625,0.000247625,0.000247625
83,73448.8,0.84804,0.48296,0.91879,0.73092,0.67337,0.64408,0.38502,0.46335,2.9551,0.50046,0.00023525,0.00023525,0.00023525
84,73548.3,0.82164,0.47585,0.91811,0.70153,0.71111,0.65661,0.37805,0.47161,2.9594,0.50302,0.000222875,0.000222875,0.000222875
85,73646.3,0.81471,0.46974,0.91401,0.7375,0.68315,0.68067,0.39337,0.46389,2.94019,0.49568,0.0002105,0.0002105,0.0002105
86,73743.8,0.82198,0.47892,0.92506,0.81178,0.71736,0.73544,0.40489,0.46489,2.96669,0.49506,0.000198125,0.000198125,0.000198125
87,73845.4,0.79063,0.45556,0.9118,0.76816,0.71131,0.69599,0.38526,0.46818,2.55507,0.49715,0.00018575,0.00018575,0.00018575
88,73946.4,0.84793,0.48222,0.92543,0.73369,0.66104,0.65027,0.37132,0.46985,2.57643,0.49452,0.000173375,0.000173375,0.000173375
89,74045.6,0.83881,0.48631,0.92539,0.82186,0.71534,0.73639,0.38682,0.46446,2.56613,0.49013,0.000161,0.000161,0.000161
90,74145.3,0.82103,0.45246,0.91236,0.77381,0.71683,0.69673,0.39158,0.46872,2.82037,0.49405,0.000148625,0.000148625,0.000148625
91,74244.9,0.80008,0.43079,0.91344,0.75933,0.73745,0.71034,0.38899,0.4638,3.29027,0.4956,0.00013625,0.00013625,0.00013625
92,74344.7,0.78078,0.41237,0.90912,0.80253,0.70563,0.68454,0.38818,0.4666,3.09229,0.49748,0.000123875,0.000123875,0.000123875
93,74443.3,0.7857,0.40791,0.91403,0.7635,0.72436,0.68412,0.38379,0.46638,2.97088,0.49762,0.0001115,0.0001115,0.0001115
94,74541.7,0.7861,0.42075,0.90846,0.74816,0.73443,0.68142,0.37897,0.46042,2.8821,0.49553,9.9125e-05,9.9125e-05,9.9125e-05
95,74640.3,0.7622,0.4191,0.8722,0.73665,0.74086,0.67513,0.39359,0.45776,4.88241,0.49416,8.675e-05,8.675e-05,8.675e-05
96,74739.5,0.7673,0.39784,0.89369,0.75638,0.73299,0.68375,0.39311,0.46081,4.86069,0.49487,7.4375e-05,7.4375e-05,7.4375e-05
97,74840.6,0.78245,0.39979,0.90224,0.79673,0.70335,0.68806,0.38927,0.4673,3.59046,0.49694,6.2e-05,6.2e-05,6.2e-05
98,74940.5,0.77258,0.39387,0.9035,0.77234,0.71109,0.68902,0.39723,0.46539,3.45812,0.4964,4.9625e-05,4.9625e-05,4.9625e-05
99,75041.9,0.77556,0.39887,0.90699,0.75981,0.72355,0.6902,0.39137,0.46327,3.43335,0.49412,3.725e-05,3.725e-05,3.725e-05
100,75143.8,0.77642,0.39919,0.89727,0.76142,0.7227,0.68431,0.388,0.46463,3.32314,0.49439,2.4875e-05,2.4875e-05,2.4875e-05
